run	section	filter	sum_final_field	stack_lines	trace_sha256	stack_sha256
1	compat	context_resolver_search::tests::compat_adapter_sequence	285	263	5b21c8422b445dfb781129411e5eebacd1c41e3179ee595939933c4c6168ec6a	88dbed697a8dc2856896df39333942cba526682c6ff7d0826e559968a36b6808
1	direct	context_resolver_search::tests::direct_bsl_catalog_sequence	12	10	5b21c8422b445dfb781129411e5eebacd1c41e3179ee595939933c4c6168ec6a	e421c1010b426f6243d9d91698461ba66a8ca2d2c3c8515c3f5f2ec194f8b660
2	compat	context_resolver_search::tests::compat_adapter_sequence	285	263	99140cd28fdc8e46fa53c5a7ded0a211a48c20c7d28f10e52b86bc9bb9fbb08c	88dbed697a8dc2856896df39333942cba526682c6ff7d0826e559968a36b6808
2	direct	context_resolver_search::tests::direct_bsl_catalog_sequence	12	10	99140cd28fdc8e46fa53c5a7ded0a211a48c20c7d28f10e52b86bc9bb9fbb08c	e421c1010b426f6243d9d91698461ba66a8ca2d2c3c8515c3f5f2ec194f8b660
